home_team,away_team,GW
14,9,1
10,12,1
1,20,1
8,5,1
15,17,1
16,3,1
19,2,1
4,7,1
6,13,1
11,18,1
5,14,2
7,19,2
9,11,2
13,10,2
17,16,2
18,8,2
2,1,2
3,15,2
20,6,2
12,4,2
1,5,3
4,17,3
8,3,3
10,9,3
11,2,3
16,20,3
19,13,3
6,7,3
15,18,3
14,12,3
17,14,4
5,10,4
7,11,4
9,19,4
12,16,4
13,4,4
2,8,4
3,6,4
18,1,4
20,15,4
19,6,5
2,20,5
9,15,5
11,8,5
12,3,5
17,10,5
18,4,5
7,14,5
5,16,5
13,1,5
15,13,6
1,11,6
4,19,6
6,5,6
8,7,6
16,9,6
20,12,6
10,2,6
14,18,6
3,17,6
7,12,7
1,17,7
4,20,7
11,3,7
13,9,7
19,10,7
8,15,7
2,14,7
6,16,7
5,18,7
18,19,8
9,2,8
14,4,8
15,5,8
17,11,8
10,8,8
3,1,8
20,13,8
12,6,8
16,7,8
11,16,9
2,3,9
4,10,9
5,20,9
13,17,9
8,9,9
6,15,9
7,18,9
19,14,9
1,12,9
15,1,10
3,13,10
10,11,10
12,5,10
16,19,10
17,8,10
20,7,10
18,2,10
14,6,10
9,4,10
4,3,11
7,9,11
19,8,11
20,17,11
5,13,11
12,2,11
14,11,11
16,15,11
18,10,11
6,1,11
11,6,12
1,16,12
2,7,12
3,5,12
8,4,12
9,20,12
13,18,12
17,12,12
10,14,12
15,19,12
5,17,13
4,11,13
7,15,13
16,10,13
20,3,13
19,1,13
6,2,13
14,8,13
18,9,13
12,13,13
10,7,14
11,19,14
8,20,14
13,16,14
15,12,14
17,6,14
1,14,14
2,4,14
9,5,14
3,18,14
2,17,15
4,15,15
7,13,15
14,16,15
9,1,15
10,3,15
11,5,15
18,6,15
19,20,15
1,8,16
12,9,16
15,11,16
20,10,16
16,2,16
5,7,16
13,14,16
6,4,16
17,18,16
3,19,16
2,13,17
4,16,17
10,15,17
19,5,17
7,1,17
8,6,17
9,17,17
11,20,17
14,3,17
18,12,17
13,8,18
3,7,18
6,9,18
15,2,18
16,18,18
17,19,18
20,14,18
12,11,18
5,4,18
1,10,18
11,13,19
7,17,19
8,16,19
9,3,19
18,20,19
19,12,19
2,5,19
10,6,19
14,15,19
4,1,19
18,15,20
2,11,20
3,8,20
7,6,20
13,19,20
17,4,20
5,1,20
9,10,20
12,14,20
20,16,20
4,13,21
6,3,21
19,9,21
16,12,21
8,2,21
11,7,21
15,20,21
1,18,21
10,5,21
14,17,21
15,3,22
4,12,22
11,9,22
19,7,22
1,2,22
8,18,22
14,5,22
16,17,22
10,13,22
6,20,22
3,16,23
5,8,23
12,10,23
17,15,23
20,1,23
13,6,23
7,4,23
18,11,23
2,19,23
9,14,23
16,5,24
3,12,24
8,11,24
10,17,24
15,9,24
20,2,24
4,18,24
14,7,24
1,13,24
6,19,24
8,12,24
5,6,25
11,1,25
2,10,25
9,16,25
13,15,25
17,3,25
19,4,25
7,8,25
12,20,25
18,14,25
2,12,25
11,4,26
8,14,26
1,19,26
3,20,26
9,7,26
10,18,26
17,5,26
2,6,26
15,16,26
13,12,26
5,3,27
7,2,27
20,9,27
6,17,27
4,8,27
14,10,27
16,1,27
18,13,27
12,15,27
19,11,27
16,13,28
5,9,28
7,10,28
12,17,28
4,2,28
20,8,28
6,11,28
18,3,28
14,1,28
19,15,28
8,19,29
10,16,29
13,5,29
17,20,29
3,4,29
1,6,29
9,18,29
11,14,29
1,9,30
20,19,30
16,14,30
3,10,30
5,2,30
13,11,30
15,4,30
17,7,30
12,8,30
6,18,30
8,1,31
7,5,31
10,20,31
19,3,31
2,16,31
4,6,31
9,12,31
18,17,31
14,13,31
11,15,31
13,7,32
5,11,32
6,10,32
16,8,32
17,2,32
20,18,32
1,4,32
12,19,32
15,14,32
3,9,32
15,7,32
4,5,33
7,3,33
8,13,33
9,6,33
14,20,33
19,17,33
2,15,33
10,1,33
11,12,33
18,16,33
6,8,34
5,19,34
15,10,34
16,4,34
17,9,34
20,11,34
1,7,34
3,14,34
12,18,34
13,2,34
1,3,35
2,9,35
4,14,35
5,15,35
6,12,35
7,16,35
8,10,35
11,17,35
13,20,35
19,18,35
3,2,36
9,8,36
10,4,36
12,1,36
14,19,36
15,6,36
16,11,36
17,13,36
18,7,36
20,5,36
1,15,37
2,18,37
4,9,37
5,12,37
6,14,37
7,20,37
8,17,37
11,10,37
13,3,37
19,16,37
3,11,38
9,13,38
10,19,38
12,7,38
14,2,38
15,8,38
16,6,38
17,1,38
18,5,38
20,4,38
